"","Movie_name","Years","Genre","Ratings","Director","Users_involved","Runtime"
"114","Fast & Furious: Hobbs and Shaw",2019,"Action",6.4,"David Leitch",160443,"
                        2h 17min
                    "
"115","Zombieland 2: Double Tap",2019,"Action",6.7,"Ruben Fleischer",129487,"
                        1h 39min
                    "
"116","John Wick: Chapter 3 - Parabellum",2019,"Action",7.4,"Chad Stahelski",261717,"
                        2h 10min
                    "
"117","Logan",2017,"Action",8.1,"James Mangold",631782,"
                        2h 17min
                    "
"118","Nocturnal Animals",2016,"Drama",7.5,"Tom Ford",231417,"
                        1h 56min
                    "
"119","Wonder Woman",2017,"Action",7.4,"Patty Jenkins",539150,"
                        2h 21min
                    "
"120","Baby Driver",2017,"Action",7.6,"Edgar Wright",426059,"
                        1h 53min
                    "
"121","Logan Lucky",2017,"Comedy",7,"Steven Soderbergh",126243,"
                        1h 58min
                    "
"122","Rogue One",2016,"Action",7.8,"Gareth Edwards",541540,"
                        2h 13min
                    "
"123","Ad Astra",2019,"Adventure",6.6,"James Gray",188855,"
                        2h 3min
                    "
"124","Captain Fantastic",2016,"Comedy",7.9,"Matt Ross",183653,"
                        1h 58min
                    "
"125","La La Land",2016,"Comedy",8,"Damien Chazelle",491447,"
                        2h 8min
                    "
"126","Godzilla: King of the Monsters",2019,"Action",6,"Michael Dougherty",126973,"
                        2h 12min
                    "
"127","Hacksaw Ridge",2016,"Biography",8.1,"Mel Gibson",422004,"
                        2h 19min
                    "
"128","Jumanji: Welcome to the Jungle",2017,"Action",6.9,"Jake Kasdan",311116,"
                        1h 59min
                    "
"129","The Revenant",2015,"Action",8,"Alejandro G. Iñárritu",688935,"
                        2h 36min
                    "
"130","Honest Thief",2020,"Action",6.5,"Mark Williams",350,"
                        1h 39min
                    "
"131","The Shape of Water",2017,"Adventure",7.3,"Guillermo del Toro",360148,"
                        2h 3min
                    "
"132","Alien: Covenant",2017,"Horror",6.4,"Ridley Scott",249497,"
                        2h 2min
                    "
"133","Marriage Story",2019,"Comedy",8,"Noah Baumbach",231584,"
                        2h 17min
                    "
"135","JL Ranch",2016,"Western",5.5,"Charles Robert Carner",389,"
                        1h 25min
                    "
"136","Do Not Reply",2019,"Horror",4.1,"Daniel Woltosz",266,"
                        1h 38min
                    "
"137","Scoob!",2020,"Animation",5.7,"Tony Cervone",15878,"
                        1h 33min
                    "
"138","Doctor Strange",2016,"Action",7.5,"Scott Derrickson",582771,"
                        1h 55min
                    "
"139","xXx: Return of Xander Cage",2017,"Action",5.2,"D.J. Caruso",83992,"
                        1h 47min
                    "
"140","Batman v Superman: Dawn of Justice",2016,"Action",6.4,"Zack Snyder",615114,"
                        2h 32min
                    "
"141","Toy Story 4",2019,"Animation",7.8,"Josh Cooley",192138,"
                        1h 40min
                    "
"142","First Man",2018,"Biography",7.3,"Damien Chazelle",161834,"
                        2h 21min
                    "
"143","The Way Back",2020,"Drama",6.7,"Gavin O'Connor",25883,"
                        1h 48min
                    "
"144","Sightless",2020,"Thriller",5,"Cooper Karl",302,"
                        1h 29min
                    "
"145","The Hateful Eight",2015,"Crime",7.8,"Quentin Tarantino",502383,"
                        2h 48min
                    "
"146","Underwater",2020,"Action",5.8,"William Eubank",50723,"
                        1h 35min
                    "
"147","A Cure for Wellness",2016,"Drama",6.4,"Gore Verbinski",83660,"
                        2h 26min
                    "
"148","Vivarium",2019,"Comedy",5.8,"Lorcan Finnegan",31235,"
                        1h 37min
                    "
"149","Tayna pechati drakona",2019,"Action",4.6,"Oleg Stepchenko",2684,"
                        2h
                    "
"150","Ocean's 8",2018,"Action",6.8,"Gary Ross",179112,"
                        1h 50min
                    "
"151","X-Men: Dark Phoenix",2019,"Action",5.8,"Simon Kinberg",148460,"
                        1h 53min
                    "
"152","The Broken Hearts Gallery",2020,"Comedy",6.6,"Natalie Krinsky",878,"
                        1h 49min
                    "
"153","Fantastic Beasts and Where to Find Them",2016,"Adventure",7.3,"David Yates",400919,"
                        2h 12min
                    "
"154","The Personal History of David Copperfield",2019,"Comedy",6.4,"Armando Iannucci",8753,"
                        1h 59min
                    "
"155","Booksmart",2019,"Comedy",7.2,"Olivia Wilde",86771,"
                        1h 42min
                    "
"156","The Sleepover",2020,"Adventure",5.5,"Trish Sie",6055,"
                        1h 40min
                    "
"157","Sicario",2015,"Action",7.6,"Denis Villeneuve",363161,"
                        2h 1min
                    "
"158","The Rental",2020,"Horror",5.7,"Dave Franco",11413,"
                        1h 28min
                    "
"159","The Call of The Wild",2020,"Adventure",6.8,"Chris Sanders",30960,"
                        1h 40min
                    "
"160","Shazam!",2019,"Action",7.1,"David F. Sandberg",243646,"
                        2h 12min
                    "
"161","Solo: A Star Wars Story",2018,"Action",6.9,"Ron Howard",280643,"
                        2h 15min
                    "
"162","Sonic The Hedgehog",2020,"Action",6.5,"Jeff Fowler",77328,"
                        1h 39min
                    "
"163","Mortal Engines",2018,"Action",6.1,"Christian Rivers",101979,"
                        2h 8min
                    "
"164","Captain America: Civil War",2016,"Action",7.8,"Anthony Russo",648417,"
                        2h 27min
                    "
"165","The Big Short",2015,"Biography",7.8,"Adam McKay",351514,"
                        2h 10min
                    "
"166","Maleficent: Mistress of Evil",2019,"Adventure",6.6,"Joachim Rønning",78850,"
                        1h 59min
                    "
"167","Fantastic Four",2015,"Action",4.3,"Josh Trank",149986,"
                        1h 40min
                    "
"168","Star Wars: The Last Jedi",2017,"Action",7,"Rian Johnson",550833,"
                        2h 32min
                    "
"169","The One and Only Ivan",2020,"Animation",6.7,"Thea Sharrock",5536,"
                        1h 35min
                    "
"170","Glass",2019,"Drama",6.7,"M. Night Shyamalan",199933,"
                        2h 9min
                    "
"171","The Voyage of Doctor Dolittle",2020,"Adventure",5.6,"Stephen Gaghan",40751,"
                        1h 41min
                    "
"172","A Beautiful Day In The Neighbourhood",2019,"Biography",7.3,"Marielle Heller",52196,"
                        1h 49min
                    "
"173","Enola Holmes",2020,"Adventure",6.7,"Harry Bradbeer",72186,"
                        2h 3min
                    "
"174","The Devil All the Time",2020,"Crime",7.1,"Antonio Campos",54686,"
                        2h 18min
                    "
"175","Tenet",2020,"Action",7.8,"Christopher Nolan",128887,"
                        2h 30min
                    "
"176","The Boys in the Band",2020,"Drama",6.8,"Joe Mantello",5174,"
                        2h 1min
                    "
"177","The Trial of the Chicago 7",2020,"Drama",7.5,"Aaron Sorkin",893,"
                        2h 9min
                    "
"178","After We Collided",2020,"Drama",5.3,"Roger Kumble",5030,"
                        1h 45min
                    "
"179","Secret Society of Second-Born Royals",2020,"Adventure",4.6,"Anna Mastro",1674,"
                        1h 39min
                    "
"180","Mulan",2020,"Action",5.4,"Niki Caro",60426,"
                        1h 55min
                    "
"181","I'm Thinking of Ending Things",2020,"Drama",6.7,"Charlie Kaufman",40989,"
                        2h 14min
                    "
"182","The Gentlemen",2019,"Action",7.9,"Guy Ritchie",190955,"
                        1h 53min
                    "
"183","Antebellum",2020,"Drama",5.5,"Gerard Bush",8147,"
                        1h 45min
                    "
"184","365 dni",2020,"Romance",3.3,"Barbara Bialowas",39417,"
                        1h 54min
                    "
"185","Knives Out",2019,"Comedy",7.9,"Rian Johnson",398231,"
                        2h 10min
                    "
"186","The Babysitter: Killer Queen",2020,"Horror",5.8,"McG",18711,"
                        1h 41min
                    "
"187","Bill & Ted Face the Music",2020,"Adventure",6.2,"Dean Parisot",20079,"
                        1h 31min
                    "
"188","Birds of Prey",2020,"Action",6.1,"Cathy Yan",146405,"
                        1h 49min
                    "
"189","The Glorias",2020,"Biography",4.6,"Julie Taymor",951,"
                        2h 19min
                    "
"190","Joker",2019,"Crime",8.5,"Todd Phillips",877498,"
                        2h 2min
                    "
"191","Sound of Metal",2019,"Drama",7,"Darius Marder",400,"
                        2h 10min
                    "
